2025/09/23 21:44:35 Starting backend API server on port 3001
2025/09/23 21:44:35 Backend API server starting on port 3001
2025/09/23 21:44:35 Also serving frontend static files from /Users/mbengtss/code/src/github.com/cldmnky/summit-connect-stockholm-2025/frontend

 ┌───────────────────────────────────────────────────┐ 
 │         Summit Connect Stockholm 2025 API         │ 
 │                   Fiber v2.52.9                   │ 
 │               http://127.0.0.1:3001               │ 
 │       (bound on host 0.0.0.0 and port 3001)       │ 
 │                                                   │ 
 │ Handlers ............ 12  Processes ........... 1 │ 
 │ Prefork ....... Disabled  PID ............. 98726 │ 
 └───────────────────────────────────────────────────┘ 

21:44:42 | 200 |    3.904667ms | 127.0.0.1 | GET | /datacenters.json | -
21:44:42 | 200 |     280.625µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:44:49 | 200 |     286.792µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:44:52 | 200 |        21.5µs | 127.0.0.1 | GET | /datacenters.json | -
21:44:55 | 200 |      65.291µs | 127.0.0.1 | GET | /api/v1/datacenters | -
21:45:02 | 200 |     103.583µs | 127.0.0.1 | GET | / | -
21:45:02 | 200 |      66.375µs | 127.0.0.1 | GET | /app.js | -
21:45:02 | 200 |       94.25µs | 127.0.0.1 | GET | /api/v1/datacenters | -
21:45:12 | 200 |      193.75µs | 127.0.0.1 | GET | /datacenters.json | -
21:45:18 | 200 |     248.792µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:45:18 | 200 |       2.042µs | 127.0.0.1 | GET | /datacenters.json | -
21:45:21 | 200 |     271.334µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:45:21 | 200 |       2.375µs | 127.0.0.1 | GET | /datacenters.json | -
21:45:22 | 200 |      27.916µs | 127.0.0.1 | GET | /datacenters.json | -
21:45:23 | 200 |     742.875µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:45:23 | 200 |       7.083µs | 127.0.0.1 | GET | /datacenters.json | -
21:45:26 | 200 |     296.375µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:45:26 | 200 |       62.75µs | 127.0.0.1 | GET | /datacenters.json | -
21:45:26 | 200 |     116.916µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:45:28 | 200 |     407.333µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:45:28 | 200 |       3.625µs | 127.0.0.1 | GET | /datacenters.json | -
21:45:31 | 200 |     257.209µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:45:31 | 200 |       2.458µs | 127.0.0.1 | GET | /datacenters.json | -
21:45:32 | 200 |       4.416µs | 127.0.0.1 | GET | /datacenters.json | -
21:45:33 | 200 |     289.791µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:45:33 | 200 |        2.25µs | 127.0.0.1 | GET | /datacenters.json | -
21:45:36 | 200 |     253.792µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:45:36 | 200 |       1.709µs | 127.0.0.1 | GET | /datacenters.json | -
21:45:38 | 200 |     462.416µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:45:38 | 200 |       1.958µs | 127.0.0.1 | GET | /datacenters.json | -
21:45:41 | 200 |      496.25µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:45:41 | 200 |        53.5µs | 127.0.0.1 | GET | /datacenters.json | -
21:45:42 | 200 |       8.917µs | 127.0.0.1 | GET | /datacenters.json | -
21:45:43 | 200 |     497.917µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:45:43 | 200 |       4.583µs | 127.0.0.1 | GET | /datacenters.json | -
21:45:46 | 200 |       655.5µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:45:46 | 200 |       7.208µs | 127.0.0.1 | GET | /datacenters.json | -
21:45:47 | 200 |     122.291µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:45:48 | 200 |      425.25µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:45:48 | 200 |       4.875µs | 127.0.0.1 | GET | /datacenters.json | -
21:45:51 | 200 |     973.791µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:45:51 | 200 |      45.209µs | 127.0.0.1 | GET | /datacenters.json | -
21:45:52 | 200 |       8.375µs | 127.0.0.1 | GET | /datacenters.json | -
21:45:53 | 200 |     1.40425ms | 127.0.0.1 | GET | /api/v1/migrate | -
21:45:53 | 200 |       8.708µs | 127.0.0.1 | GET | /datacenters.json | -
21:45:56 | 200 |     153.583µs | 127.0.0.1 | GET | / | -
21:45:56 | 200 |     156.542µs | 127.0.0.1 | GET | /styles.css | -
21:45:56 | 200 |     163.875µs | 127.0.0.1 | GET | /app.js | -
21:45:56 | 200 |     204.584µs | 127.0.0.1 | GET | /api/v1/datacenters | -
21:45:56 | 404 |     166.834µs | 127.0.0.1 | GET | /favicon.ico | Cannot GET /favicon.ico
21:45:56 | 200 |     797.958µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:45:56 | 200 |     126.292µs | 127.0.0.1 | GET | /datacenters.json | -
21:45:57 | 200 |        5.75µs | 127.0.0.1 | GET | / | -
21:45:58 | 200 |       6.292µs | 127.0.0.1 | GET | /app.js | -
21:45:58 | 200 |       2.083µs | 127.0.0.1 | GET | /styles.css | -
21:45:58 | 200 |     148.292µs | 127.0.0.1 | GET | /api/v1/datacenters | -
21:45:58 | 404 |        71.5µs | 127.0.0.1 | GET | /favicon.ico | Cannot GET /favicon.ico
21:45:58 | 200 |     410.542µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:45:58 | 200 |      10.875µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:01 | 200 |       465.5µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:01 | 200 |      13.584µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:02 | 200 |       9.667µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:02 | 200 |         363µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:02 | 200 |      10.583µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:03 | 200 |     761.292µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:03 | 200 |      11.125µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:05 | 200 |      550.75µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:05 | 200 |       8.958µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:06 | 200 |     483.666µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:06 | 200 |      13.584µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:07 | 200 |     670.583µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:07 | 200 |       6.708µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:08 | 200 |       7.875µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:08 | 200 |     560.417µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:08 | 200 |       4.916µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:10 | 200 |     227.708µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:10 | 200 |        42.5µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:11 | 200 |     523.875µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:11 | 200 |       5.708µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:11 | 200 |       5.166µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:12 | 200 |       7.292µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:13 | 200 |     469.791µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:13 | 200 |       6.667µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:13 | 200 |       2.708µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:13 | 200 |       6.458µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:13 | 200 |     457.792µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:13 | 200 |       5.709µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:13 | 200 |       2.292µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:15 | 200 |     316.292µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:15 | 200 |       4.542µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:15 | 200 |        1.25µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:16 | 200 |     358.959µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:16 | 200 |       4.334µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:16 | 200 |       2.917µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:18 | 200 |     517.167µs | 127.0.0.1 | GET | /api/v1/migrate | -
21:46:18 | 200 |       3.083µs | 127.0.0.1 | GET | /datacenters.json | -
21:46:18 | 200 |       1.625µs | 127.0.0.1 | GET | /datacenters.json | -
